State,County,Census Tract Number,Life Expectancy,Life Expectancy Range,Life Expectancy Standard Error
California,"Los Angeles County, CA",1352.03,82.2,81.7-97.5,1.4263
California,"Los Angeles County, CA",1370.00,,,
California,"Los Angeles County, CA",1371.03,84,81.7-97.5,2.8533
California,"Los Angeles County, CA",1371.04,82.3,81.7-97.5,1.7108
California,"Los Angeles County, CA",1372.01,81.7,81.7-97.5,1.5278
California,"Los Angeles County, CA",1373.01,82.1,81.7-97.5,2.0361
California,"Los Angeles County, CA",1373.02,85,81.7-97.5,2.3507
California,"Los Angeles County, CA",1374.01,85.3,81.7-97.5,2.6859
California,"Los Angeles County, CA",1374.02,83.4,81.7-97.5,1.107
California,"Los Angeles County, CA",1375.01,82,81.7-97.5,1.5986
California,"Los Angeles County, CA",1375.02,81.7,81.7-97.5,1.4578
California,"Los Angeles County, CA",1375.04,84.6,81.7-97.5,1.7098
California,"Los Angeles County, CA",1380.00,82.7,81.7-97.5,1.4092
California,"Los Angeles County, CA",1390.01,80.4,79.6-81.6,1.3909
California,"Los Angeles County, CA",1392.00,80.5,79.6-81.6,1.5272
California,"Los Angeles County, CA",1393.01,84.9,81.7-97.5,1.8229
California,"Los Angeles County, CA",1393.02,81.9,81.7-97.5,2.3082
California,"Los Angeles County, CA",1393.03,80.6,79.6-81.6,1.7361
California,"Los Angeles County, CA",1394.01,80.1,79.6-81.6,1.8595
California,"Los Angeles County, CA",1394.02,83.7,81.7-97.5,1.5156
California,"Los Angeles County, CA",1395.02,81.2,79.6-81.6,1.0036
California,"Los Angeles County, CA",1395.03,82,81.7-97.5,1.9913
California,"Los Angeles County, CA",1395.04,79.8,79.6-81.6,1.1192
California,"Los Angeles County, CA",1396.00,81.2,79.6-81.6,1.3256
California,"Los Angeles County, CA",1397.01,83.7,81.7-97.5,1.582
California,"Los Angeles County, CA",1397.02,84.9,81.7-97.5,1.6237
California,"Los Angeles County, CA",1397.03,87,81.7-97.5,2.0472
California,"Los Angeles County, CA",1398.01,88.3,81.7-97.5,2.5313
California,"Los Angeles County, CA",1398.02,81.1,79.6-81.6,0.9105
California,"Los Angeles County, CA",1411.01,83.4,81.7-97.5,1.6955
California,"Los Angeles County, CA",1411.02,81.1,79.6-81.6,1.4793
California,"Los Angeles County, CA",1412.01,79.7,79.6-81.6,1.2254
California,"Los Angeles County, CA",1412.02,86.1,81.7-97.5,2.3132
California,"Los Angeles County, CA",1413.02,81.3,79.6-81.6,1.4192
California,"Los Angeles County, CA",1413.03,87.3,81.7-97.5,2.6094
California,"Los Angeles County, CA",1413.04,84.2,81.7-97.5,2.2864
California,"Los Angeles County, CA",1414.00,84.2,81.7-97.5,1.5579
California,"Los Angeles County, CA",1415.00,86.3,81.7-97.5,1.8417
California,"Los Angeles County, CA",1416.00,88.6,81.7-97.5,2.1207
California,"Los Angeles County, CA",1417.00,86.5,81.7-97.5,2.8803
California,"Los Angeles County, CA",1431.00,81.4,79.6-81.6,1.1745
California,"Los Angeles County, CA",1432.00,76.3,75.2-77.5,1.6493
California,"Los Angeles County, CA",1433.00,81.4,79.6-81.6,1.7084
California,"Los Angeles County, CA",1434.00,83.2,81.7-97.5,1.9601
California,"Los Angeles County, CA",1435.00,77.1,75.2-77.5,2.7297
California,"Los Angeles County, CA",1436.02,79.8,79.6-81.6,1.3413
California,"Los Angeles County, CA",1436.03,81.3,79.6-81.6,1.8515
California,"Los Angeles County, CA",1436.04,77,75.2-77.5,2.6732
California,"Los Angeles County, CA",1437.00,84.5,81.7-97.5,2.4126
California,"Los Angeles County, CA",1438.00,84.1,81.7-97.5,1.6381
California,"Los Angeles County, CA",1439.01,83.4,81.7-97.5,1.3006
California,"Los Angeles County, CA",1439.02,83.6,81.7-97.5,1.9262
California,"Los Angeles County, CA",1810.00,82.8,81.7-97.5,1.3721
California,"Los Angeles County, CA",1813.00,85.8,81.7-97.5,2.1484
California,"Los Angeles County, CA",1814.00,81.8,81.7-97.5,1.5204
California,"Los Angeles County, CA",1815.00,82.4,81.7-97.5,1.2376
California,"Los Angeles County, CA",1816.00,84.5,81.7-97.5,3.0996
California,"Los Angeles County, CA",1831.01,80.2,79.6-81.6,2.2379
California,"Los Angeles County, CA",1831.03,79.4,77.6-79.5,1.9294
California,"Los Angeles County, CA",1831.04,86.1,81.7-97.5,3.0829
California,"Los Angeles County, CA",1832.20,85.4,81.7-97.5,2.7969
California,"Los Angeles County, CA",1832.21,81.6,79.6-81.6,2.7496
California,"Los Angeles County, CA",1832.22,80.8,79.6-81.6,1.5837
California,"Los Angeles County, CA",1833.00,85.4,81.7-97.5,2.8504
California,"Los Angeles County, CA",1834.01,79.7,79.6-81.6,1.1551
California,"Los Angeles County, CA",1834.02,81.1,79.6-81.6,2.5234
California,"Los Angeles County, CA",1835.10,82.9,81.7-97.5,2.1356
California,"Los Angeles County, CA",1835.20,81,79.6-81.6,2.3589
California,"Los Angeles County, CA",1836.10,81.5,79.6-81.6,2.443
California,"Los Angeles County, CA",1836.20,80.8,79.6-81.6,2.3274
California,"Los Angeles County, CA",1837.01,82.5,81.7-97.5,3.9994
California,"Los Angeles County, CA",1837.02,83.7,81.7-97.5,2.952
California,"Los Angeles County, CA",1838.10,83.2,81.7-97.5,3.8465
California,"Los Angeles County, CA",1838.20,81.7,81.7-97.5,2.9498
California,"Los Angeles County, CA",1851.00,83.5,81.7-97.5,2.2524
California,"Los Angeles County, CA",1852.02,86.1,81.7-97.5,3.1496
California,"Los Angeles County, CA",1852.03,82.9,81.7-97.5,2.8443
California,"Los Angeles County, CA",1852.04,86.7,81.7-97.5,3.8849
California,"Los Angeles County, CA",1853.10,82.1,81.7-97.5,2.3944
California,"Los Angeles County, CA",1853.20,80.9,79.6-81.6,3.153
California,"Los Angeles County, CA",1861.00,80.8,79.6-81.6,1.2201
California,"Los Angeles County, CA",1862.01,81.1,79.6-81.6,1.307
California,"Los Angeles County, CA",1862.02,85,81.7-97.5,2.472
California,"Los Angeles County, CA",1862.03,87.1,81.7-97.5,3.7498
California,"Los Angeles County, CA",1863.01,,,
California,"Los Angeles County, CA",1863.02,84.4,81.7-97.5,2.3973
California,"Los Angeles County, CA",1864.01,84.4,81.7-97.5,2.7775
California,"Los Angeles County, CA",1864.03,82.2,81.7-97.5,2.3191
