State,County,Census Tract Number,Life Expectancy,Life Expectancy Range,Life Expectancy Standard Error
Florida,"Miami-Dade County, FL",0090.43,82.1,81.7-97.5,2.2506
Florida,"Miami-Dade County, FL",0090.44,,,
Florida,"Miami-Dade County, FL",0090.46,,,
Florida,"Miami-Dade County, FL",0090.47,81.2,79.6-81.6,3.8341
Florida,"Miami-Dade County, FL",0091.00,84.1,81.7-97.5,1.6017
Florida,"Miami-Dade County, FL",0092.00,80.4,79.6-81.6,1.2761
Florida,"Miami-Dade County, FL",0093.05,80.7,79.6-81.6,0.9383
Florida,"Miami-Dade County, FL",0093.06,81.3,79.6-81.6,1.8599
Florida,"Miami-Dade County, FL",0093.07,81.2,79.6-81.6,1.75
Florida,"Miami-Dade County, FL",0093.08,83.7,81.7-97.5,1.8743
Florida,"Miami-Dade County, FL",0093.09,83,81.7-97.5,1.625
Florida,"Miami-Dade County, FL",0093.11,80.4,79.6-81.6,1.1252
Florida,"Miami-Dade County, FL",0093.12,87.1,81.7-97.5,3.9982
Florida,"Miami-Dade County, FL",0093.13,80.6,79.6-81.6,1.4811
Florida,"Miami-Dade County, FL",0093.14,77.9,77.6-79.5,1.2989
Florida,"Miami-Dade County, FL",0093.15,,,
Florida,"Miami-Dade County, FL",0094.00,80,79.6-81.6,2.8652
Florida,"Miami-Dade County, FL",0095.01,79,77.6-79.5,3.3987
Florida,"Miami-Dade County, FL",0095.03,75.5,75.2-77.5,2.0085
Florida,"Miami-Dade County, FL",0095.04,76.5,75.2-77.5,2.0586
Florida,"Miami-Dade County, FL",0096.00,74.5,56.9-75.1,1.4101
Florida,"Miami-Dade County, FL",0097.03,84.7,81.7-97.5,3.2111
Florida,"Miami-Dade County, FL",0097.04,81.8,81.7-97.5,1.9377
Florida,"Miami-Dade County, FL",0097.05,86.2,81.7-97.5,3.2667
Florida,"Miami-Dade County, FL",0097.06,83.8,81.7-97.5,3.8451
Florida,"Miami-Dade County, FL",0098.03,81.8,81.7-97.5,3.1762
Florida,"Miami-Dade County, FL",0098.04,78.4,77.6-79.5,2.0576
Florida,"Miami-Dade County, FL",0098.06,85.4,81.7-97.5,3.2217
Florida,"Miami-Dade County, FL",0098.07,78.4,77.6-79.5,1.841
Florida,"Miami-Dade County, FL",0098.08,79.7,79.6-81.6,2.5507
Florida,"Miami-Dade County, FL",0099.01,79,77.6-79.5,1.4469
